"107年04月11日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1702","南僑","4.42","106","15.24","2.64","106/4",
"1704","榮化","6.50","106","10.64","1.41","106/4",
"1707","葡萄王","2.60","106","25.70","6.69","106/4",
"1708","東鹼","3.27","105","12.54","1.12","106/4",
"1709","和益","8.00","106","14.65","1.24","106/4",
"1710","東聯","5.42","106","16.07","1.90","106/4",
"1711","永光","2.78","106","26.87","1.28","106/4",
"1712","興農","5.71","106","12.59","1.09","106/4",
"1713","國化","2.43","106","37.71","1.21","106/4",
"1714","和桐","3.44","106","25.62","0.78","106/4",
"1717","長興","4.04","106","18.00","1.68","106/4",
"1718","中纖","7.56","106","14.17","0.54","106/4",
"1720","生達","4.62","106","17.07","1.69","106/4",
"1721","三晃","1.62","106","39.84","1.17","106/4",
"1722","台肥","5.26","106","24.18","0.80","106/4",
"1723","中碳","2.94","106","31.30","5.56","106/4",
"1724","台硝","4.24","106","20.81","0.92","106/4",
"1725","元禎","4.98","106","13.99","1.03","106/4",
"1726","永記","4.29","106","16.72","1.60","106/4",
"1727","中華化","3.90","106","18.33","1.16","106/4",
"1730","花仙子","4.99","106","15.02","2.21","106/4",
"1731","美吾華","4.12","106","22.38","1.10","106/4",
"1732","毛寶","0.00","105","71.47","1.23","106/4",
"1733","五鼎","4.62","106","37.79","1.95","106/4",
"1734","杏輝","0.83","106","109.55","1.31","106/4",
"1735","日勝化","3.10","106","25.63","1.14","106/4",
"1736","喬山","3.52","105","75.93","1.21","106/4",
"1737","臺鹽","5.32","106","15.93","0.94","106/4",
"1760","寶齡富錦","1.14","106","99.25","10.77","106/4",
"1762","中化生","1.89","106","23.78","1.12","106/4",
"1773","勝一","5.42","106","14.47","2.82","106/4",
"1776","展宇","6.99","106","15.89","1.28","106/4",
"1783","和康生","0.47","106","139.57","2.80","106/4",
"1786","科妍","0.24","106","257.58","4.80","106/4",
"1789","神隆","1.40","106","64.91","2.61","106/4",
"1802","台玻","2.58","106","26.58","1.23","106/4",
"1805","寶徠","0.00","105","-","1.27","106/4",
"1806","冠軍","0.00","105","-","0.50","106/4",
"1808","潤隆","6.48","106","22.78","2.83","106/4",
"1809","中釉","1.57","106","-","0.67","106/4",
"1810","和成","0.00","105","21.13","0.62","106/4",
"1817","凱撒衛","5.50","106","11.68","1.89","106/4",
"1902","台紙","0.00","105","31.98","1.31","106/4",
"1903","士紙","0.00","105","-","3.13","106/4",
"1904","正隆","3.00","105","12.81","0.93","106/4",
"1905","華紙","4.33","106","20.63","0.81","106/4",
"1906","寶隆","3.62","106","9.96","0.43","106/4",
"1907","永豐餘","4.55","106","13.61","0.66","106/4",
"1909","榮成","5.00","106","10.23","1.44","106/4",
"2002","中鋼","3.73","106","21.65","1.20","106/4",
"2006","東和鋼鐵","5.52","106","14.82","1.06","106/4",
"2007","燁興","0.00","105","-","0.88","106/4",
"2008","高興昌","0.00","105","-","0.96","106/4",
"2009","第一銅","0.00","105","16.00","1.06","106/4",
"2010","春源","4.27","106","19.50","0.72","106/4",
"2012","春雨","3.65","106","23.35","1.55","106/4",
"2013","中鋼構","0.61","106","140.89","1.82","106/4",
"2014","中鴻","0.00","105","6.37","1.40","106/4",
"2015","豐興","5.95","106","12.56","1.94","106/4",
"2017","官田鋼","7.87","106","11.05","0.88","106/4",
"2020","美亞","9.16","106","10.54","1.12","106/4",
"2022","聚亨","0.00","105","-","0.89","106/4",
"2023","燁輝","9.22","105","14.47","0.71","106/4",
"2024","志聯","6.93","106","11.00","0.95","106/4",
"2025","千興","0.00","106","7.60","0.86","106/4",
"2027","大成鋼","3.70","106","28.17","2.36","106/4",
"2028","威致","0.00","105","6.03","1.97","106/4",
"2029","盛餘","6.36","106","11.85","0.97","106/4",
"2030","彰源","6.27","106","8.13","1.19","106/4",
"2031","新光鋼","4.37","106","13.15","2.23","106/4",
"2032","新鋼","0.94","106","88.75","0.85","106/4",
"2033","佳大","1.33","106","51.72","1.26","106/4",
"2034","允強","6.77","106","13.23","1.43","106/4",
"2038","海光","3.66","105","227.50","0.66","106/4",
"2049","上銀","0.79","106","49.03","8.24","106/4",
"2059","川湖","1.98","105","43.76","4.53","106/4",
"2062","橋椿","0.82","106","27.37","1.11","106/4",
"2069","運錩","6.40","106","16.35","1.19","106/4",
"2101","南港","2.66","106","32.41","1.89","106/4",
"2102","泰豐","0.77","105","-","0.66","106/4",
"2103","台橡","3.15","106","28.77","1.69","106/4",
"2104","中橡","4.50","105","12.03","1.40","106/4",
"2105","正新","3.75","106","28.10","1.89","106/4",
"2106","建大","3.40","106","92.76","1.61","106/4",
"2107","厚生","4.30","106","30.20","0.53","106/4",
"2108","南帝","6.00","106","14.37","1.69","106/4",
"2109","華豐","1.45","105","-","1.62","106/4",
"2114","鑫永銓","5.41","106","18.43","2.79","106/4",
"2115","六暉-KY","3.70","106","12.13","1.51","106/4",
"2201","裕隆","2.54","106","15.51","0.51","106/4",
"2204","中華","6.46","106","9.38","0.76","106/4",
"2206","三陽工業","4.45","106","36.80","1.45","106/4",
"2207","和泰車","4.05","106","16.01","3.47","106/4",
"2208","台船","0.00","105","-","3.06","106/4",
"2227","裕日車","8.21","105","12.10","3.79","106/4",
"2228","劍麟","5.24","106","13.77","2.02","106/4",
"2231","為升","2.09","106","42.10","13.86","106/4",
"2236","百達-KY","2.71","106","16.01","1.91","106/4",
"2239","英利-KY","2.72","105","16.97","1.89","106/4",
"2243","宏旭-KY","1.31","106","36.43","1.58","106/4",
"2301","光寶科","7.21","106","35.84","1.33","106/4",
"2302","麗正","0.00","105","-","0.68","106/4",
"2303","聯電","4.55","106","19.49","0.88","106/4",
"2305","全友","0.00","105","3.56","0.81","106/4",
"2308","台達電","3.95","106","17.87","2.64","106/4",
"2311","日月光","3.24","105","15.74","1.89","106/4",
"2312","金寶","2.90","106","36.96","0.85","106/4",
"2313","華通","4.21","106","9.50","1.49","106/4",
"2314","台揚","0.68","106","42.29","2.44","106/4",
"2316","楠梓電","0.00","105","-","0.52","106/4",
"2317","鴻海","5.15","105","10.90","1.40","106/4",
"2321","東訊","0.00","105","-","6.00","106/4",
"2323","中環","0.00","105","-","0.50","106/4",
"2324","仁寶","6.11","105","14.89","0.84","106/4",
"2325","矽品","3.44","105","23.03","2.32","106/4",
"2327","國巨","3.13","106","27.85","6.11","106/4",
"2328","廣宇","3.78","106","15.90","1.04","106/4",
"2329","華泰","0.00","105","-","1.27","106/4",
"2330","台積電","3.23","106","18.75","4.22","106/4",
"2331","精英","0.00","105","42.88","0.82","106/4",
"2332","友訊","2.64","105","-","0.82","106/4",
"2337","旺宏","2.43","106","16.14","3.61","106/4",
"2338","光罩","0.00","105","-","1.45","106/4",
"2340","光磊","5.93","106","15.07","1.40","106/4",
"2342","茂矽","0.00","105","-","3.47","106/4",
"2344","華邦電","5.31","106","13.56","1.25","106/4",
"2345","智邦","4.80","106","18.62","4.94","106/4",
"2347","聯強","4.87","106","12.30","1.67","106/4",
"2348","海悅","7.46","106","22.65","3.22","106/4",
"2349","錸德","0.00","105","-","0.97","106/4",
"2351","順德","2.98","106","21.35","2.86","106/4",
"2352","佳世達","6.35","106","7.90","1.35","106/4",
"2353","宏碁","3.01","106","25.00","1.23","106/4",
"2354","鴻準","4.82","105","11.18","0.83","106/4",
"2355","敬鵬","4.26","106","13.97","1.30","106/4",
"2356","英業達","7.14","106","12.29","1.49","106/4",
"2357","華碩","5.41","106","13.26","1.18","106/4",
"2358","廷鑫","0.00","105","48.37","1.86","106/4",
"2359","所羅門","4.43","106","66.32","0.90","106/4",
"2360","致茂","2.65","106","27.24","5.27","106/4",
"2362","藍天","2.74","106","26.07","0.44","106/4",
"2363","矽統","0.00","105","-","0.72","106/4",
"2364","倫飛","0.00","105","-","1.46","106/4",
"2365","昆盈","2.87","106","52.25","0.74","106/4",
"2367","燿華","0.00","105","17.54","1.25","106/4",
"2368","金像電","0.00","105","-","0.77","106/4",
"2369","菱生","3.76","106","38.00","0.82","106/4",
"2371","大同","0.00","105","770.00","1.78","106/4",
"2373","震旦行","6.67","106","11.09","2.69","106/4",
"2374","佳能","4.27","106","24.35","0.62","106/4",
"2375","智寶","0.00","105","17.68","2.13","106/4",
"2376","技嘉","3.55","105","16.71","1.93","106/4",
"2377","微星","4.48","105","17.21","3.05","106/4",
"2379","瑞昱","3.85","105","19.40","3.01","106/4",
"2380","虹光","0.00","105","-","0.68","106/4",
"2382","廣達","5.91","106","15.42","1.67","106/4",
"2383","台光電","5.36","106","10.25","2.41","106/4",
"2385","群光","5.92","106","12.86","2.17","106/4",
"2387","精元","2.44","106","16.40","0.50","106/4",
"2388","威盛","0.00","105","369.00","5.22","106/4",
"2390","云辰","0.55","105","-","0.96","106/4",
"2392","正崴","4.95","106","15.54","0.89","106/4",
"2393","億光","6.79","106","16.19","1.09","106/4",
"2395","研華","3.20","106","23.33","5.21","106/4",
"2397","友通","6.17","106","18.66","2.52","106/4",
"2399","映泰","3.49","106","40.98","1.71","106/4",
"2401","凌陽","4.52","106","21.53","1.02","106/4",
"2402","毅嘉","0.00","105","-","0.87","106/4",
"2404","漢唐","7.84","106","12.51","2.37","106/4",
"2405","浩鑫","0.65","105","-","1.84","106/4",
"2406","國碩","0.00","105","-","1.34","106/4",
"2408","南亞科","3.97","106","6.71","2.05","106/4",
"2409","友達","11.28","106","3.96","0.61","106/4",
"2412","中華電","4.21","106","22.75","2.42","106/4",
"2413","環科","0.00","105","-","1.57","106/4",
"2414","精技","6.80","106","12.96","1.30","106/4",
"2415","錩新","4.67","106","12.16","1.13","106/4",
"2417","圓剛","0.78","106","-","0.87","106/4",
"2419","仲琦","5.77","106","16.07","1.47","106/4",
"2420","新巨","7.54","106","11.85","1.85","106/4",
"2421","建準","5.16","106","17.00","2.70","106/4",
"2423","固緯","6.40","106","11.96","1.54","106/4",
"2424","隴華","0.00","105","-","1.91","106/4",
"2425","承啟","0.51","105","-","1.88","106/4",
"2426","鼎元","4.13","106","25.68","1.44","106/4",
"2427","三商電","2.09","106","30.64","1.03","106/4",
"2428","興勤","4.55","106","10.40","2.04","106/4",
"2429","銘旺科","0.00","105","-","1.82","106/4",
"2430","燦坤","5.55","106","14.94","0.86","106/4",
"2431","聯昌","5.44","105","-","1.01","106/4",
"2433","互盛電","7.28","106","12.49","1.73","106/4",
"2434","統懋","0.00","105","-","2.34","106/4",
"2436","偉詮電","2.17","106","27.43","1.88","106/4",
"2438","翔耀","0.00","105","-","1.63","106/4",
"2439","美律","10.41","106","8.65","2.29","106/4",
"2440","太空梭","0.00","105","15.06","1.47","106/4",
"2441","超豐","5.34","106","12.74","2.06","106/4",
"2442","新美齊","0.35","105","-","0.84","106/4",
"2443","新利虹","0.00","105","-","0.62","106/4",
"2444","友旺","0.33","106","230.77","2.63","106/4",
"2448","晶電","1.85","106","24.35","0.78","106/4",
"2449","京元電子","5.94","106","16.56","1.48","106/4",
"2450","神腦","6.18","106","16.04","2.24","106/4",
"2451","創見","6.91","106","14.07","1.82","106/4",
"2453","凌群","4.73","106","16.26","0.85","106/4",
"2454","聯發科","2.80","105","21.93","2.05","106/4",
"2455","全新","2.23","106","52.58","7.29","106/4",
"2456","奇力新","3.94","105","20.55","2.80","106/4",
"2457","飛宏","0.00","105","610.00","0.76","106/4",
"2458","義隆","5.86","106","17.05","2.49","106/4",
"2459","敦吉","6.90","106","10.53","1.05","106/4",
"2460","建通","0.00","105","-","1.02","106/4",
"2461","光群雷","3.44","106","17.16","0.92","106/4",
"2462","良得電","2.21","105","129.52","1.49","106/4",
"2464","盟立","3.24","106","21.53","2.57","106/4",
"2465","麗臺","0.00","105","-","3.16","106/4",
"2466","冠西電","0.00","105","4,100.00","3.74","106/4",
"2467","志聖","5.34","106","10.41","1.83","106/4",
"2468","華經","3.11","106","24.25","0.80","106/4",
"2471","資通","6.49","106","22.65","1.02","106/4",
"2472","立隆電","3.84","106","16.05","2.43","106/4",
"2474","可成","3.35","106","12.63","2.07","106/4",
"2475","華映","0.00","105","4.72","0.99","106/4",
"2476","鉅祥","5.43","106","12.29","1.04","106/4",
"2477","美隆電","4.39","106","16.54","1.86","106/4",
"2478","大毅","1.10","105","43.65","1.81","106/4",
"2480","敦陽科","5.27","105","13.89","1.68","106/4",
"2481","強茂","1.75","105","-","3.53","106/4",
"2482","連宇","2.46","105","-","1.10","106/4",
"2483","百容","5.60","106","15.89","1.09","106/4",
"2484","希華","5.10","106","18.67","1.07","106/4",
"2485","兆赫","1.49","106","268.50","1.25","106/4",
"2486","一詮","0.00","105","-","0.60","106/4",
"2488","漢平","7.09","106","11.31","1.14","106/4",
"2489","瑞軒","12.36","105","-","0.93","106/4",
"2491","吉祥全","0.00","105","14.47","1.02","106/4",
"2492","華新科","0.94","105","23.89","3.66","106/4",
"2493","揚博","6.63","106","12.22","1.34","106/4",
"2495","普安","3.01","106","31.67","0.89","106/4",
"2496","卓越","1.60","105","16.70","3.31","106/4",
"2497","怡利電","1.83","105","-","1.94","106/4",
"2498","宏達電","0.00","105","-","1.55","106/4",
"2499","東貝","0.00","105","-","0.76","106/4",
"2501","國建","9.40","105","12.76","0.81","106/4",
"2504","國產","5.19","106","4.72","0.68","106/4",
"2505","國揚","0.00","105","65.00","1.29","106/4",
"2506","太設","1.24","106","403.33","0.70","106/4",
"2509","全坤建","4.22","105","149.74","1.39","106/4",
"2511","太子","5.49","106","15.00","0.81","106/4",
"2514","龍邦","3.51","106","5.82","0.73","106/4",
"2515","中工","2.42","106","46.18","0.61","106/4",
"2516","新建","4.00","105","-","0.63","106/4",
"2520","冠德","2.42","106","29.50","0.90","106/4",
"2524","京城","0.00","105","11.11","0.72","106/4",
"2527","宏璟","2.95","106","208.85","0.98","106/4",
"2528","皇普","0.00","105","-","2.02","106/4",
"2530","華建","5.30","105","-","1.26","106/4",
"2534","宏盛","11.89","106","7.94","1.69","106/4",
"2535","達欣工","8.11","106","10.35","0.93","106/4",
"2536","宏普","9.35","105","9.55","0.64","106/4",
"2537","聯上發","9.95","105","-","0.60","106/4",
"2538","基泰","9.52","105","87.50","0.61","106/4",
"2539","櫻花建","7.90","106","11.15","1.88","106/4",
"2540","愛山林","0.00","105","249.58","1.08","106/4",
"2542","興富發","7.66","106","27.04","1.70","106/4",
"2543","皇昌","3.69","105","203.00","0.77","106/4",
"2545","皇翔","5.16","106","41.50","0.93","106/4",
"2546","根基","8.55","106","9.08","1.14","106/4",
"2547","日勝生","0.00","105","-","1.16","106/4",
"2548","華固","7.37","106","8.97","1.26","106/4",
"2597","潤弘","6.18","106","14.90","1.39","106/4",
"2601","益航","0.00","105","10.08","0.67","106/4",
"2603","長榮","4.65","106","8.60","0.95","106/4",
"2605","新興","3.36","106","19.83","0.66","106/4",
"2606","裕民","3.44","106","29.53","1.35","106/4",
"2607","榮運","2.56","106","16.45","0.68","106/4",
"2608","大榮","3.94","105","14.98","2.13","106/4",
"2609","陽明","0.00","105","73.93","0.92","106/4",
"2610","華航","2.10","106","26.25","1.01","106/4",
"2611","志信","1.37","106","122.00","0.52","106/4",
"2612","中航","1.75","105","57.00","0.60","106/4",
"2613","中櫃","2.49","106","25.48","0.48","106/4",
"2614","東森","0.00","105","3.83","1.37","106/4",
"2615","萬海","2.86","106","15.22","1.14","106/4",
"2616","山隆","6.24","105","8.05","1.10","106/4",
"2617","台航","0.00","105","14.33","0.70","106/4",
"2618","長榮航","4.61","106","11.01","1.09","106/4",
"2630","亞航","3.88","106","28.25","2.38","106/4",
"2633","台灣高鐵","3.32","106","23.79","2.02","106/4",
"2634","漢翔","3.28","106","18.49","2.47","106/4",
"2636","台驊投控","5.14","106","12.22","1.28","106/4",
"2637","慧洋-KY","3.58","106","41.03","0.66","106/4",
"2642","宅配通","3.77","106","22.46","1.60","106/4",
"2701","萬企","3.77","106","14.56","0.82","106/4",
"2702","華園","3.61","105","-","1.43","106/4",
"2704","國賓","1.74","106","19.01","0.88","106/4",
"2705","六福","0.00","105","-","0.69","106/4",
"2706","第一店","3.61","106","13.38","0.89","106/4",
"2707","晶華","4.50","106","18.36","5.52","106/4",
"2712","遠雄來","0.42","106","162.50","2.20","106/4",
"2722","夏都","2.36","106","38.47","2.08","106/4",
"2723","美食-KY","1.59","106","28.89","6.27","106/4",
"2727","王品","4.30","106","21.30","2.68","106/4",
"2731","雄獅","4.26","106","18.80","3.84","106/4",
"2739","寒舍","2.51","106","37.55","2.41","106/4",
"2748","雲品","4.61","106","17.13","3.30","106/4",
"2801","彰銀","5.40","105","13.32","1.11","106/4",
"2809","京城銀","4.12","106","7.44","1.13","106/4",
"2812","台中銀","6.86","106","9.27","0.77","106/4",
"2816","旺旺保","3.70","106","6.06","0.93","106/4",
"2820","華票","4.95","106","14.21","0.84","106/4",
"2823","中壽","5.51","105","12.85","1.23","106/4",
"2832","台產","4.30","105","8.91","0.89","106/4",
"2834","臺企銀","7.53","106","10.85","0.72","106/4",
"2836","高雄銀","3.48","106","21.07","0.67","106/4",
"2838","聯邦銀","7.25","106","9.86","0.57","106/4",
"2841","台開","0.00","105","15.23","0.40","106/4",
"2845","遠東銀","7.17","106","11.00","0.74","106/4",
"2849","安泰銀","4.43","105","11.20","0.74","106/4",
"2850","新產","5.60","106","7.52","1.05","106/4",
"2851","中再保","7.85","106","7.73","0.95","106/4",
"2852","第一保","4.36","106","8.99","0.73","106/4",
"2855","統一證","8.11","106","7.87","0.81","106/4",
"2856","元富證","1.05","105","15.83","0.69","106/4",
"2867","三商壽","5.59","105","9.37","0.76","106/4",
"2880","華南金","6.76","105","16.28","1.19","106/4",
"2881","富邦金","3.92","105","10.20","1.13","106/4",
"2882","國泰金","3.75","105","12.69","1.19","106/4",
"2883","開發金","4.76","105","12.96","0.91","106/4",
"2884","玉山金","6.15","106","13.79","1.37","106/4",
"2885","元大金","4.00","106","10.04","0.77","106/4",
"2886","兆豐金","5.57","105","13.49","1.16","106/4",
"2887","台新金","6.64","105","11.82","0.99","106/4",
"2888","新光金","4.13","106","11.75","0.87","106/4",
"2889","國票金","7.51","106","11.92","0.88","106/4",
"2890","永豐金","6.60","106","12.93","0.85","106/4",
"2891","中信金","4.65","105","11.44","1.33","106/4",
"2892","第一金","6.90","105","15.98","1.29","106/4",
"2897","王道銀行","3.43","106","19.86","0.72","106/4",
"2901","欣欣","1.61","106","54.15","2.14","106/4",
"2903","遠百","5.56","106","16.51","0.87","106/4",
"2904","匯僑","7.28","105","13.35","1.37","106/4",
"2905","三商","6.44","106","10.95","1.06","106/4",
"2906","高林","3.64","106","61.11","0.78","106/4",
"2908","特力","4.92","106","15.16","1.63","106/4",
"2910","統領","1.82","105","182.67","2.19","106/4",
"2911","麗嬰房","3.80","106","6.32","0.82","106/4",
"2912","統一超","8.32","106","10.07","6.17","106/4",
"2913","農林","3.25","106","19.01","0.73","106/4",
"2915","潤泰全","6.88","106","3.87","1.41","106/4",
"2923","鼎固-KY","1.87","106","240.63","0.65","106/4",
"2929","淘帝-KY","3.99","105","9.09","1.84","106/4",
"2936","客思達-KY","1.10","106","73.92","0.77","106/4",
"2939","凱羿-KY","8.36","106","9.63","5.43","106/4",
"3002","歐格","3.95","105","17.33","1.01","106/4",
"3003","健和興","3.17","106","17.75","1.96","106/4",
"3004","豐達科","3.46","106","16.42","1.99","106/4",
"3005","神基","5.68","106","13.06","1.84","106/4",
